,Apparaat-ID,Apparaat,Datum,Uur,Meetwaarde,Eenheid,Kost (EUR),Meettype,Type apparaat
175,5653a456,wasmachine,2018-01-22,19:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
176,5653a456,wasmachine,2018-01-22,20:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
177,5653a456,wasmachine,2018-01-22,20:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
178,5653a456,wasmachine,2018-01-22,20:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
179,5653a456,wasmachine,2018-01-22,20:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
180,5653a456,wasmachine,2018-01-22,21:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
181,5653a456,wasmachine,2018-01-22,21:15,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
182,5653a456,wasmachine,2018-01-22,21:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
183,5653a456,wasmachine,2018-01-22,21:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
184,5653a456,wasmachine,2018-01-22,22:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
185,5653a456,wasmachine,2018-01-22,22:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
186,5653a456,wasmachine,2018-01-22,22:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
187,5653a456,wasmachine,2018-01-22,22:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
188,5653a456,wasmachine,2018-01-22,23:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
189,5653a456,wasmachine,2018-01-22,23:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
190,5653a456,wasmachine,2018-01-22,23:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
191,5653a456,wasmachine,2018-01-22,23:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
192,5653a456,wasmachine,2018-01-23,00:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
193,5653a456,wasmachine,2018-01-23,00:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
194,5653a456,wasmachine,2018-01-23,00:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
